timestamp,q0,q1,q2,q3,accel_x,accel_y,accel_z
366665756,0.97518,-0.0327808,0.0955311,-0.197036,0.168263,0.845618,-0.405801
366774756,0.970796,-0.0218602,0.0910628,-0.220873,0.485343,0.89003,-0.33088
366873756,0.965914,-0.00923506,0.0839283,-0.244705,0.09243,0.992304,0.52308
366982756,0.960419,-9.25846e-05,0.0760313,-0.267981,0.340075,1.09606,0.597213
367091756,0.955562,0.00751227,0.0697858,-0.286311,0.291955,1.02237,0.333766
367190756,0.951579,0.012673,0.0644798,-0.300297,0.23188,0.979162,-0.425414
367299756,0.948021,0.0167869,0.0628452,-0.311487,-0.0720837,0.711301,-0.43191
367398759,0.944159,0.0230419,0.0590779,-0.323331,-0.445539,0.611359,-0.0264853
367507756,0.939576,0.0292261,0.0576809,-0.336179,-0.674298,0.612882,-0.279611
367616756,0.933679,0.0343721,0.0565953,-0.351935,0.00473522,0.767042,-0.498361
367715756,0.926062,0.0391721,0.0548447,-0.371303,-0.799412,0.435056,0.153788
367824789,0.918552,0.0383503,0.0517971,-0.390011,-0.0376252,0.191392,-0.0478352
367923756,0.913017,0.040378,0.0474636,-0.403133,-0.413505,0.543052,-0.769254
368032756,0.908619,0.0450899,0.0429111,-0.41296,-0.950961,0.461148,0.0760176
368131756,0.903538,0.0498622,0.0365801,-0.424022,-0.0887137,0.593952,0.427103
368240756,0.899133,0.0527727,0.0364963,-0.432947,-0.411967,0.514291,0.322672
368349756,0.890667,0.0498245,0.0319151,-0.450789,-0.237445,0.348047,0.118987
368448756,0.881855,0.0462207,0.0313987,-0.468199,0.0505535,0.489837,-0.331524
368557756,0.874331,0.0460631,0.0307535,-0.482159,-0.586265,0.427617,0.103298
368656763,0.868728,0.0443658,0.0272209,-0.492547,-0.903559,0.54391,-0.36118
368765756,0.865549,0.0458116,0.0321581,-0.497687,0.0426201,0.628165,-1.47135
368864756,0.861349,0.0429738,0.0346065,-0.505009,0.524445,0.881219,-0.0911549
368973756,0.857139,0.0422987,0.0346633,-0.512173,-0.0625857,0.800965,-0.353264
369072756,0.852172,0.0431957,0.0322578,-0.520477,0.328997,0.775963,-0.0172204
369181756,0.849056,0.0418009,0.0270756,-0.525951,0.0776621,0.600942,-0.0615043
369290756,0.847026,0.0431331,0.0222826,-0.529329,-0.142141,0.455844,0.367178
369389756,0.843917,0.0430137,0.0206592,-0.534347,-0.0308675,0.464787,0.449434
369498759,0.840536,0.0424588,0.0186302,-0.539768,-0.241836,0.241948,-0.259593
369597756,0.837653,0.0425857,0.0183004,-0.544232,-0.5977,0.410421,-0.0057464
369706756,0.834393,0.041289,0.0170123,-0.549358,-0.629652,0.343294,-0.16924
369805778,0.831143,0.0408047,0.0165578,-0.554313,-0.658562,0.44394,-0.44814
369914756,0.826936,0.0409512,0.0144321,-0.560617,-0.232705,0.279897,-0.0276764
370023756,0.822817,0.0414324,0.0120973,-0.566665,-0.400265,0.138626,-0.202948
370122756,0.818693,0.0417335,0.00945736,-0.572635,0.0579612,0.140035,0.28022
370231756,0.814868,0.0433247,0.00774448,-0.577973,0.533681,-0.257564,0.615205
370330756,0.811634,0.0398866,0.00320942,-0.582794,0.830516,-0.629603,0.560717
370439756,0.8114,0.0360485,0.00238555,-0.583374,-0.466712,-0.251988,0.301035
370538756,0.811381,0.0381882,0.00821855,-0.583211,0.3786,-0.0540445,-0.362845
370647756,0.810539,0.0316043,-0.00350363,-0.584821,0.0458587,0.151759,-0.789678
370756785,0.812357,0.0259635,-0.0119931,-0.582459,0.203752,0.878953,-0.965909
370855756,0.81487,0.0193401,-0.0232449,-0.578855,-0.434599,0.839862,0.176011
